sp_id1,gen
1,Homo
2,Pan
4,Gorilla
5,Pongo
6,Nomascus
7,Macaca
9,Chlorocebus
10,Rhinopithecus
12,Callithrix
13,Saimiri
14,Mus
15,Rattus
16,Cricetulus
17,Nannospalax
18,Heterocephalus
19,Castor
20,Oryctolagus
21,Tupaia
22,Canis
23,Ailuropoda
24,Ursus
25,Odobenus
26,Felis
27,Panthera
28,Acinonyx
29,Bos
32,Pantholops
33,Capra
34,Ovis
35,Sus
36,Camelus
38,Balaenoptera
39,Lipotes
40,Orcinus
41,Equus
44,Myotis
46,Hipposideros
47,Rhinolophus
48,Pteropus
49,Loxodonta
50,Trichechus
51,Monodelphis
52,Sarcophilus
53,Ornithorhynchus
54,Gallus
55,Meleagris
56,Coturnix
57,Anas
58,Anser
59,Taeniopygia
60,Serinus
61,Geospiza
62,Ficedula
63,Pseudopodoces
64,Parus
65,Cyanistes
66,Corvus
67,Falco
69,Columba
70,Egretta
71,Nipponia
72,Athene
73,Apteryx
74,Alligator
76,Pelodiscus
77,Chelonia
78,Chrysemys
79,Anolis
80,Pogona
81,Python
82,Protobothrops
83,Gekko
84,Xenopus
86,Nanorana
87,Danio
88,Sinocyclocheilus
91,Cyprinus
92,Ictalurus
93,Pangasianodon
94,Astyanax
95,Electrophorus
96,Takifugu
97,Tetraodon
98,Larimichthys
99,Notothenia
100,Maylandia
101,Oryzias
102,Xiphophorus
103,Poecilia
104,Nothobranchius
105,Kryptolebias
106,Cynoglossus
107,Lates
108,Seriola
109,Hippocampus
110,Boleophthalmus
111,Monopterus
112,Salmo
113,Oncorhynchus
114,Salvelinus
115,Esox
116,Scleropages
117,Paramormyrops
118,Latimeria
119,Callorhinchus
120,Branchiostoma
121,Ciona
122,Strongylocentrotus
123,Acanthaster
124,Saccoglossus
125,Drosophila
137,Musca
138,Anopheles
139,Aedes
140,Culex
141,Apis
142,Bombus
144,Solenopsis
145,Monomorium
146,Acromyrmex
147,Atta
148,Pogonomyrmex
149,Harpegnathos
150,Dinoponera
151,Camponotus
152,Linepithema
153,Pseudomyrmex
154,Ooceraea
155,Polistes
156,Nasonia
157,Microplitis
158,Tribolium
159,Dendroctonus
160,Nicrophorus
161,Bombyx
162,Danaus
163,Papilio
164,Pieris
165,Helicoverpa
166,Trichoplusia
167,Plutella
168,Acyrthosiphon
169,Diuraphis
170,Cimex
171,Pediculus
172,Zootermopsis
173,Folsomia
174,Daphnia
175,Ixodes
176,Tetranychus
177,Dermatophagoides
178,Caenorhabditis
180,Necator
181,Brugia
182,Loa
183,Trichinella
184,Helobdella
185,Lottia
186,Crassostrea
187,Mizuhopecten
188,Octopus
189,Lingula
190,Schistosoma
192,Opisthorchis
193,Echinococcus
194,Nematostella
195,Exaiptasia
196,Acropora
197,Pocillopora
198,Stylophora
199,Hydra
200,Trichoplax
201,Amphimedon
202,Arabidopsis
204,Capsella
205,Camelina
206,Eutrema
207,Brassica
210,Tarenaya
211,Carica
212,Citrus
214,Theobroma
215,Gossypium
218,Durio
219,Eucalyptus
220,Glycine
221,Phaseolus
222,Vigna
224,Cajanus
225,Medicago
226,Cicer
